#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
93,"4/1/2026 12:47:51.116 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=2),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
94,"4/1/2026 12:47:51.142 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=2),,"",LL_ACK
95,"4/1/2026 12:47:51.234 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 0E 00 00 00 00",LL_ACK
96,"4/1/2026 12:47:51.255 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
97,"4/1/2026 12:47:51.329 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
98,"4/1/2026 12:47:51.362 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=3),,"",LL_ACK
99,"4/1/2026 12:47:51.449 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
100,"4/1/2026 12:47:51.470 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=4),,"",LL_ACK
101,"4/1/2026 12:47:51.544 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
102,"4/1/2026 12:47:51.568 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=4),,"",LL_ACK
103,"4/1/2026 12:47:51.655 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=5),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 0E 00 00 00 00",LL_ACK
104,"4/1/2026 12:47:51.681 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=5),,"",LL_ACK
105,"4/1/2026 12:47:51.751 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=5),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
106,"4/1/2026 12:47:51.781 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=5),,"",LL_ACK
107,"4/1/2026 12:47:51.869 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=6),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
108,"4/1/2026 12:47:51.891 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=6),,"",LL_ACK
109,"4/1/2026 12:47:51.964 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=6),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
110,"4/1/2026 12:47:52.000 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=6),,"",LL_ACK
111,"4/1/2026 12:47:52.088 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Write (S=7),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 1A 00 00 00 00",LL_ACK
112,"4/1/2026 12:47:52.109 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=7),,"",LL_ACK
113,"4/1/2026 12:47:52.183 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=7),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
114,"4/1/2026 12:47:52.209 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=7),,"",LL_ACK
115,"4/1/2026 12:47:52.276 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read (S=8),,"ObjectIndex=4, PropertyId=7, Count=1, StartIndex=1",LL_ACK
116,"4/1/2026 12:47:52.297 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=8),,"",LL_ACK
117,"4/1/2026 12:47:52.379 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=8),,"ObjectIndex=4, PropertyId=7, Count=1, StartIndex=1, Data=00 00 09 38",LL_ACK
118,"4/1/2026 12:47:52.403 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=8),,"",LL_ACK
119,"4/1/2026 12:47:52.471 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=9),,"Count=1, Address=$0938, Data=$01",LL_ACK
120,"4/1/2026 12:47:52.493 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=9),,"",LL_ACK
121,"4/1/2026 12:47:52.565 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=9),,"ReturnCode=E_SUCCESS, Address=$0938",LL_ACK
122,"4/1/2026 12:47:52.589 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=9),,"",LL_ACK
123,"4/1/2026 12:47:52.661 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=10),,"Count=2, Address=$093A, Data=00 14",LL_ACK
124,"4/1/2026 12:47:52.682 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=10),,"",LL_ACK
125,"4/1/2026 12:47:52.754 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=10),,"ReturnCode=E_SUCCESS, Address=$093A",LL_ACK
126,"4/1/2026 12:47:52.778 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=10),,"",LL_ACK
127,"4/1/2026 12:47:52.892 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,MemoryExtended_Write (S=11),,"Count=22, Address=$093E, Data=20 80 01 1E 02 3C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00",LL_ACK
128,"4/1/2026 12:47:52.914 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=11),,"",LL_ACK
129,"4/1/2026 12:47:52.985 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,MemoryExtended_WriteResponse (S=11),,"ReturnCode=E_SUCCESS, Address=$093E",LL_ACK
130,"4/1/2026 12:47:53.010 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=11),,"",LL_ACK
131,"4/1/2026 12:47:53.077 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read (S=12),,"ObjectIndex=3, PropertyId=7, Count=1, StartIndex=1",LL_ACK
132,"4/1/2026 12:47:53.106 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=12),,"",LL_ACK
133,"4/1/2026 12:47:53.180 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=12),,"ObjectIndex=3, PropertyId=7, Count=1, StartIndex=1, Data=00 00 09 54",LL_ACK
134,"4/1/2026 12:47:53.205 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=12),,"",LL_ACK
